gb|U59183|+|247-859|ARO:3002581|AAC(6')-Ib10 [Pseudomonas aeruginosa] 	612	25	612	+	>7593	2524	55	642	586	587	255	NM:i:1	AS:f:584.06	dv:f:0.00170358	id:f:0.998296	cg:Z:579=1X7=
gb|U59183|+|247-859|ARO:3002581|AAC(6')-Ib10 [Pseudomonas aeruginosa] 	612	2	18	+	<1851	79238	37281	37296	15	16	255	NM:i:1	AS:f:13.06	dv:f:0.0625	id:f:0.9375	cg:Z:15=1I
gb|AY136758|+|377-947|ARO:3002582|AAC(6')-Ib11 [Salmonella enterica subsp. enterica serovar Typhimurium] 	570	20	570	+	>7593	2524	92	642	547	550	255	NM:i:3	AS:f:541.18	dv:f:0.00545455	id:f:0.994545	cg:Z:296=1X2=1X242=1X7=
gb|FJ854362|+|1702-2257|ARO:3002576|AAC(6')-Ib3 [Acinetobacter baumannii] 	555	0	555	+	>7593	2524	87	642	553	555	255	NM:i:2	AS:f:549.12	dv:f:0.0036036	id:f:0.996396	cg:Z:89=1X457=1X7=
gb|AF445082|+|2788-3343|ARO:3002577|AAC(6')-Ib4 [Acinetobacter baumannii] 	555	0	555	+	>7593	2524	87	642	553	555	255	NM:i:2	AS:f:549.12	dv:f:0.0036036	id:f:0.996396	cg:Z:304=1X242=1X7=
gb|AF043381|+|251-863|ARO:3002580|AAC(6')-Ib9 [Pseudomonas aeruginosa] 	612	25	612	+	>7593	2524	55	642	585	587	255	NM:i:2	AS:f:581.12	dv:f:0.00340716	id:f:0.996593	cg:Z:336=1X242=1X7=
gb|AF043381|+|251-863|ARO:3002580|AAC(6')-Ib9 [Pseudomonas aeruginosa] 	612	2	18	+	<1851	79238	37281	37296	15	16	255	NM:i:1	AS:f:13.06	dv:f:0.0625	id:f:0.9375	cg:Z:15=1I
gb|DQ303918|+|0-600|ARO:3002547|AAC(6')-Ib-cr [Escherichia coli] 	600	13	600	+	>7593	2524	55	642	584	587	255	NM:i:3	AS:f:578.18	dv:f:0.00511073	id:f:0.994889	cg:Z:290=1X230=1X57=1X7=
gb|JQ808129|+|633-1188|ARO:3002546|AAC(6')-Ib [Klebsiella pneumoniae] 	555	0	555	+	>7593	2524	87	642	551	555	255	NM:i:4	AS:f:543.24	dv:f:0.00720721	id:f:0.992793	cg:Z:23=1X280=1X161=1X80=1X7=
gb|FJ503047|+|0-519|ARO:3002592|AAC(6')-Ib-Hangzhou [Acinetobacter baumannii] 	519	0	519	+	>7593	2524	123	642	516	519	255	NM:i:3	AS:f:510.18	dv:f:0.00578035	id:f:0.99422	cg:Z:19=1X248=1X242=1X7=
gb|AY660529.1|+|121-676|ARO:3003676|AAC(6')-Ib' [Pseudomonas aeruginosa] 	555	0	555	+	>7593	2524	87	642	554	555	255	NM:i:1	AS:f:552.06	dv:f:0.0018018	id:f:0.998198	cg:Z:304=1X250=
gb|EU085533|+|0-519|ARO:3002591|AAC(6')-Ib-Suzhou [Enterobacter cloacae] 	519	0	519	+	>7593	2524	123	642	517	520	255	NM:i:3	AS:f:510.18	dv:f:0.00576923	id:f:0.994231	cg:Z:508=1D2=1X1I7=
gb|GU565967.1|-|24979-26419|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia [Staphylococcus aureus] 	1440	0	1440	+	<20533	2028	454	1894	1440	1440	255	NM:i:0	AS:f:1440	dv:f:0	id:f:1	cg:Z:1440=
gb|FJ381668|+|56-848|ARO:3002612|aadA12 [Escherichia coli] 	792	0	790	+	>7593	2524	711	1498	747	792	255	NM:i:45	AS:f:657.7	dv:f:0.0568182	id:f:0.943182	cg:Z:7=1X8=1X1=2X4=1X1=1X4=1I1=1X1D13=2X1=2X7=1X11=1X3=1X1=1X14=1X39=1X4=1X453=1X46=2X1=1X5=1X2=1X18=1X12=1X3=1X8=1X6=3I7=1X9=1X11=1X12=1X3=1X2=2X16=1X3=1D2=1I3=1X2=1X4=
gb|DQ393783|+|1799-2591|ARO:3002615|aadA15 [Pseudomonas aeruginosa] 	792	0	790	+	>7593	2524	711	1498	764	791	255	NM:i:27	AS:f:710.62	dv:f:0.034134	id:f:0.965866	cg:Z:92=1X446=1X51=1X46=2X1=1X5=1X2=1X18=1X12=1X3=1X8=1X6=3I7=1X9=1X11=1X12=1X3=1X2=2X16=1X3=1D2=1I3=1X2=1X4=
